climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
140,52.6861,11.4272,WW,271,16,211,,260,288,197,227
164,53.0316,13.9907,WW,262,5,201,,248,285,171,218
183,54.6792,13.4343,WW,264,16,223,,247,280,205,236
591,53.3911,10.6878,WW,269,8,221,,254,290,207,232
596,54.0028,11.1908,WW,264,12,218,,248,287,201,228
640,50.8685,12.7237,WW,275,13,227,,261,291,207,240
662,52.2914,10.4465,WW,280,16,214,,270,292,201,232
717,51.3873,8.5737,WW,278,16,235,,261,296,217,249
821,49.1443,10.5024,WW,268,7,207,,257,281,201,213
822,51.2066,14.2371,WW,275,9,210,,271,281,197,223
853,50.7913,12.872,WW,280,8,225,,264,298,207,242
880,51.776,14.3168,WW,270,16,211,,260,289,200,221
882,50.7813,10.786,WW,276,15,232,,262,287,215,247
891,53.8713,8.7058,WW,273,9,216,,261,293,201,232
1048,51.128,13.7543,WW,268,3,214,,256,279,206,227
1133,52.1014,11.2322,WW,259,16,212,,250,270,200,228
1246,51.8418,8.0607,WW,284,11,218,,268,298,209,230
1412,50.8969,13.2205,WW,272,16,217,,260,286,207,230
1532,53.6865,11.0608,WW,260,16,213,,248,279,201,230
1544,52.5129,11.3941,WW,267,3,211,,260,275,199,224
1612,50.8813,12.1289,WW,261,15,211,,247,278,196,230
1684,51.1622,14.9506,WW,277,6,211,,271,290,191,226
1691,51.5003,9.9506,WW,276,9,214,,257,301,200,226
1757,54.0967,13.4056,WW,270,16,220,,248,282,206,237
1766,52.1344,7.6969,WW,279,9,212,,274,289,204,233
1780,50.4316,11.9443,WW,283,15,227,,263,302,212,246
1820,50.85,11.6667,WW,276,16,219,,265,290,207,235
1957,51.5138,11.9499,WW,273,8,210,,263,281,198,232
2034,50.9574,11.9757,WW,286,8,229,,263,310,209,251
2163,51.5448,10.8748,WW,271,14,221,,260,290,207,249
2468,50.9352,12.6206,WW,290,15,219,,281,302,207,232
2514,54.6667,9.9333,WW,260,6,229,,254,287,215,237
2561,49.7167,8.1167,WW,284,8,203,,278,291,195,213
2597,50.2241,10.0792,WW,277,3,213,,268,292,206,227
2625,52.739,12.4984,WW,284,6,220,,263,306,201,233
2667,50.8646,7.1575,WW,281,4,207,,271,291,195,229
2878,51.391,11.8788,WW,280,8,211,,272,289,198,222
2895,49.3442,11.5664,WW,274,9,225,,264,282,208,238
2928,51.3151,12.4462,WW,271,7,210,,261,283,200,223
2995,52.8719,13.3927,WW,275,4,219,,255,295,207,227
3015,52.2085,14.118,WW,286,16,216,,273,305,206,227
3023,52.5181,7.3081,WW,283,8,214,,275,291,206,222
3028,51.7855,8.8388,WW,279,9,210,,266,294,200,219
3126,52.1029,11.5827,WW,276,16,206,,260,293,191,227
3196,53.3223,11.9319,WW,255,6,222,,248,266,213,234
3213,50.911,11.3794,WW,283,14,231,,270,297,213,252
3287,49.7176,9.0997,WW,273,6,216,,260,287,207,232
3302,51.0418,11.0062,WW,278,13,212,,269,294,192,224
3314,52.1458,11.9563,WW,269,14,209,,253,283,197,221
3347,51.7384,9.7899,WW,270,7,222,,258,280,214,231
3478,53.5468,13.1914,WW,267,4,218,,261,283,216,221
3487,51.607,11.1183,WW,271,8,230,,263,279,216,248
3552,52.9037,12.8072,WW,284,4,216,,277,290,201,234
3637,51.5158,10.7739,WW,278,8,226,,268,293,216,239
3660,50.3601,6.8697,WW,280,6,227,,271,294,215,236
3684,51.2873,11.0183,WW,271,16,213,,263,293,202,229
3750,48.0579,9.9479,WW,287,7,220,,281,293,203,233
3761,49.207,9.5175,WW,286,7,213,,275,301,202,227
3811,51.296,13.0928,WW,271,9,208,,263,284,197,221
3815,52.2553,8.0534,WW,274,3,213,,257,285,213,214
4177,48.9726,8.3301,WW,282,3,193,,272,289,180,204
